tri,x0,y0,z0,x1,y1,z1,x2,y2,z2,energy
168,14.000000,8.000000,20.000000,15.000000,8.000000,20.000000,14.000000,9.000000,20.000000,0.289508
169,15.000000,8.000000,20.000000,15.000000,9.000000,20.000000,14.000000,9.000000,20.000000,0.288457
170,15.000000,8.000000,20.000000,16.000000,8.000000,20.000000,15.000000,9.000000,20.000000,0.288120
171,16.000000,8.000000,20.000000,16.000000,9.000000,20.000000,15.000000,9.000000,20.000000,0.287297
172,16.000000,8.000000,20.000000,17.000000,8.000000,20.000000,16.000000,9.000000,20.000000,0.286112
173,17.000000,8.000000,20.000000,17.000000,9.000000,20.000000,16.000000,9.000000,20.000000,0.284848
174,17.000000,8.000000,20.000000,18.000000,8.000000,20.000000,17.000000,9.000000,20.000000,0.284750
175,18.000000,8.000000,20.000000,18.000000,9.000000,20.000000,17.000000,9.000000,20.000000,0.283521
176,18.000000,8.000000,20.000000,19.000000,8.000000,20.000000,18.000000,9.000000,20.000000,0.282937
177,19.000000,8.000000,20.000000,19.000000,9.000000,20.000000,18.000000,9.000000,20.000000,0.282067
178,19.000000,8.000000,20.000000,20.000000,8.000000,20.000000,19.000000,9.000000,20.000000,0.280497
179,20.000000,8.000000,20.000000,20.000000,9.000000,20.000000,19.000000,9.000000,20.000000,0.279979
180,10.000000,9.000000,20.000000,11.000000,9.000000,20.000000,10.000000,10.000000,20.000000,0.294169
181,11.000000,9.000000,20.000000,11.000000,10.000000,20.000000,10.000000,10.000000,20.000000,0.293401
182,11.000000,9.000000,20.000000,12.000000,9.000000,20.000000,11.000000,10.000000,20.000000,0.292906
183,12.000000,9.000000,20.000000,12.000000,10.000000,20.000000,11.000000,10.000000,20.000000,0.292211
184,12.000000,9.000000,20.000000,13.000000,9.000000,20.000000,12.000000,10.000000,20.000000,0.291827
185,13.000000,9.000000,20.000000,13.000000,10.000000,20.000000,12.000000,10.000000,20.000000,0.290764
186,13.000000,9.000000,20.000000,14.000000,9.000000,20.000000,13.000000,10.000000,20.000000,0.290393
187,14.000000,9.000000,20.000000,14.000000,10.000000,20.000000,13.000000,10.000000,20.000000,0.289417
188,14.000000,9.000000,20.000000,15.000000,9.000000,20.000000,14.000000,10.000000,20.000000,0.288381
189,15.000000,9.000000,20.000000,15.000000,10.000000,20.000000,14.000000,10.000000,20.000000,0.287507
190,15.000000,9.000000,20.000000,16.000000,9.000000,20.000000,15.000000,10.000000,20.000000,0.286925
191,16.000000,9.000000,20.000000,16.000000,10.000000,20.000000,15.000000,10.000000,20.000000,0.286356
192,16.000000,9.000000,20.000000,17.000000,9.000000,20.000000,16.000000,10.000000,20.000000,0.285241
193,17.000000,9.000000,20.000000,17.000000,10.000000,20.000000,16.000000,10.000000,20.000000,0.283962
194,17.000000,9.000000,20.000000,18.000000,9.000000,20.000000,17.000000,10.000000,20.000000,0.283551
195,18.000000,9.000000,20.000000,18.000000,10.000000,20.000000,17.000000,10.000000,20.000000,0.282612
196,18.000000,9.000000,20.000000,19.000000,9.000000,20.000000,18.000000,10.000000,20.000000,0.282129
197,19.000000,9.000000,20.000000,19.000000,10.000000,20.000000,18.000000,10.000000,20.000000,0.281183
198,19.000000,9.000000,20.000000,20.000000,9.000000,20.000000,19.000000,10.000000,20.000000,0.279638
199,20.000000,9.000000,20.000000,20.000000,10.000000,20.000000,19.000000,10.000000,20.000000,0.279133
200,10.000000,10.000000,20.000000,11.000000,10.000000,20.000000,10.000000,11.000000,20.000000,0.292966
201,11.000000,10.000000,20.000000,11.000000,11.000000,20.000000,10.000000,11.000000,20.000000,0.292298
